well,sample_type,strain,time,glucose_ug
B2,blank,,,
B3,reagent blank,,,
B4,standard,,,50
B5,standard,,,10
B6,standard,,,2
B7,standard,,,0.4
B8,standard,,,0.08
B9,standard,,,0.016
B10,sample,medium,0,
B11,sample,medium,0,
D2,sample,wild-type,40,
D3,sample,wild-type,40,
D4,sample,sdaCB-,40,
D5,sample,sdaCB-,40,
D6,sample,wild-type,80,
D7,sample,wild-type,80,
D8,sample,sdaCB-,80,
D9,sample,sdaCB-,80,
D10,sample,wild-type,120,
D11,sample,wild-type,120,
F2,sample,sdaCB-,120,
F3,sample,sdaCB-,120,
F4,sample,wild-type,160,
F5,sample,wild-type,160,
F6,sample,sdaCB-,160,
F7,sample,sdaCB-,160,
F8,sample,wild-type,200,
F9,sample,wild-type,200,
F10,sample,sdaCB-,200,
F11,sample,sdaCB-,200,
