well,strain,genotype,medium,replicate,plate
B2,ecMK85,WT,lysis,1,1
C2,ecMK85,WT,lysis,2,1
D2,ecMK85,WT,lysis,3,1
E2,ecMK102,sdaCB,lysis,1,1
F2,ecMK102,sdaCB,lysis,2,1
G2,ecMK102,sdaCB,lysis,3,1
B4,ecMK228,sdaCB_sdaA_tdcG,lysis,1,1
C4,ecMK228,sdaCB_sdaA_tdcG,lysis,2,1
D4,ecMK228,sdaCB_sdaA_tdcG,lysis,3,1
E4,ecMK236,sdaB_tdcG,lysis,1,1
F4,ecMK236,sdaB_tdcG,lysis,2,1
G4,ecMK236,sdaB_tdcG,lysis,3,1
B6,ecMK237,sdaB_tdcG_sdaA,lysis,1,1
C6,ecMK237,sdaB_tdcG_sdaA,lysis,2,1
D6,ecMK237,sdaB_tdcG_sdaA,lysis,3,1
